Ubicación;Latitud;Longitud;Familia;Genero-ESPECIE
Santa Rosa de Cuzubamba, Ecuador;-0,027222222;-78,2825;Apidae;Apis mellifera
Loja, Ecuador;-3,99520508;-79,19995131;Apidae;Apis mellifera
Isabela Island, Ecuador;-0,8292374;-91,135302;Apidae;Xylocopa darwini
Puyo, Ecuador;-1,507658281;-78,01283609;Apidae;Apis mellifera
Azogues, Ecuador;-2,72142919;-78,85623729;Apidae;Apis mellifera
Puerto del Morro, Ecuador;-2,611450937;-80,30416947;Apidae;Apis mellifera
Quito, Pichincha, Ecuador;-0,195833333;-78,43;Apidae;Apis mellifera
VÃ­a La Costa, Ecuador;-2,17779513;-79,98620177;Apidae;Apis mellifera
Mapasingue, Guayaquil, Ecuador;-2,148871274;-79,91802447;Apidae;Apis mellifera
Coop. El FortÃ­n de la Flor, Guayaquil, Ecuador;-2,113113972;-79,95030597;Apidae;Apis mellifera
Garcia Moreno, Ecuador;0,558320798;-77,94669047;Apidae;Apis mellifera
Guano;-1,607363719;-78,63136254;Apidae;Apis mellifera
Distrito Metropolitano de Quito, Ecuador;-0,339437262;-78,51907707;Apidae;Apis mellifera
Distrito Metropolitano de Quito, Ecuador;-0,338142175;-78,51547321;Apidae;Apis mellifera
Base Aerea, Quito 170104, Ecuador;-0,136907972;-78,49362181;Apidae;Apis mellifera
Nueva Loja, Ecuador;0,088397863;-76,88556902;Apidae;Apis mellifera
Parroquia Chontapunta, Napo, Comunidad de Puerto Rico, Ecuador;-0,840857;-77,233215;Apidae;Bombus transversalis
Huachiyacu, Ecuador;-0,833944077;-77,16164392;Apidae;Euglossa intersecta
Huachiyacu, Ecuador;-0,844195453;-77,17450682;Apidae;Euglossa intersecta
Guaytacama, Ecuador;-0,8248348;-78,6427107;Apidae;Apis mellifera
Quito, EC-PI, EC;-0,211008906;-78,51767812;Apidae;Apis mellifera
La Esperanza, Quito, Ecuador;-0,081210254;-78,44221676;Apidae;Apis mellifera
CalderÃ³n, Quito, Ecuador;-0,107628237;-78,41914331;Apidae;Apis mellifera
Parroquia Nono, Ecuador;-0,0669014;-78,5767311;Apidae;Apis mellifera
Noboa;-1,410241877;-80,38252316;Apidae;Tetragonisca angustula
Puyo, Ecuador;-1,484378;-78,00610197;Apidae;Apis mellifera
Perucho, Ecuador;0,109769651;-78,42449406;Apidae;Apis mellifera
Los Pinos de La Pulida, Quito, Ecuador;-0,142435881;-78,51690531;Apidae;Apis mellifera
Puyo, Ecuador;-1,479928973;-78,00599847;Apidae;Apis mellifera
Guayacanes 4ta. Etapa Oeste, Guayaquil 090502, Ecuador;-2,117704639;-79,89642894;Apidae;Apis mellifera
Montufar, Ecuador;0,608317032;-77,79651127;Apidae;Bombus funebris
Quito Norte A, Quito, Ecuador;-0,124461338;-78,49593353;Apidae;Apis mellifera
Av. Bolivariana y Arquimedes, Ambato 180205, Ecuador;-1,281711723;-78,60509735;Apidae;Apis mellifera
Isabela, GalÃ¡pagos, Ecuador;-0,9577914;-90,96602223;Apidae;Xylocopa darwini
Mejia, Ecuador;-0,592491595;-78,44897914;Apidae;Bombus funebris
Quito 170183, Ecuador;-0,170253637;-78,33086092;Apidae;Apis mellifera
Mulliquindil (Santa Ana);-1,009335463;-78,53201084;Apidae;Apis mellifera
Zamora, Ecuador;-4,062094102;-78,94862294;Apidae;Apis mellifera
CantÃ³n Quero, Ecuador;-1,397967059;-78,61186691;Apidae;Apis mellifera
Santa Rosa, Ecuador;-1,279166667;-78,65361111;Apidae;Apis mellifera
San Marcos, Quito, Ecuador;-0,225146722;-78,50909752;Apidae;Apis mellifera
S 41 Y Oe 13 B, Quito 170140, Ecuador;-0,293487033;-78,57303489;Apidae;Apis mellifera
Jorge Perrone Galarza, Guayaquil, Guayas, EC;-2,178994798;-79,91437661;Apidae;Apis mellifera
SangolquÃ­, Ecuador;-0,318135512;-78,42626274;Apidae;Apis mellifera
Santa Cruz, Ecuador;-0,692723002;-90,22139322;Apidae;Xylocopa darwini
Quito 170206, Ecuador;-0,078125;-78,43420556;Apidae;Apis mellifera
Shushufindi, Ecuador;-0,494198258;-76,37377041;Apidae;Scaptotrigona xanthotricha
BaÃ±os, Tungurahua, EC;-1,395541667;-78,43279167;Apidae;Apis mellifera
Parque Nacional Cotopaxi, MejÃ­a, Pichincha, Ecuador;-0,591944444;-78,44888889;Apidae;Bombus funebris
La Armenia, Quito, Ecuador;-0,265055285;-78,47227033;Apidae;Apis mellifera
Ambato 180207, Ecuador;-1,272445652;-78,62577517;Apidae;Apis mellifera
La Bota, Quito 170133, Ecuador;-0,120796546;-78,45171288;Apidae;Apis mellifera
La Bota, Quito 170133, Ecuador;-0,119581508;-78,45296882;Apidae;Apis mellifera
Puerto Baquerizo Moreno, Ecuador;-0,897759744;-89,60827636;Apidae;Xylocopa darwini
La Bota, Quito 170133, Ecuador;-0,11855523;-78,46034456;Apidae;Apis mellifera
La Merced, Ecuador;-0,3181013;-78,40082249;Apidae;Apis mellifera
Stacey Guzman, Quito, Pichincha, EC;-0,152775926;-78,50329064;Apidae;Apis mellifera
Condominio Las Cuadras;-0,278075587;-78,54975935;Apidae;Apis mellifera
N54 Y Jorge Piedra, Quito 170132, Ecuador;-0,138897052;-78,50861728;Apidae;Apis mellifera
Latacunga, Ecuador;-0,847695764;-78,62565881;Apidae;Apis mellifera
La Bota, Quito 170133, Ecuador;-0,113955251;-78,4610017;Apidae;Apis mellifera
CalacalÃ­, Ecuador;0,000574663;-78,51366084;Apidae;Apis mellifera
Puebloviejo, Ecuador;-1,684795181;-79,57543473;Apidae;Apis mellifera
IÃ±aquito, Quito, Ecuador;-0,174924013;-78,46251648;Apidae;Apis mellifera
Distrito Metropolitano de Quito, Ecuador;-0,124164692;-78,58958827;Apidae;Bombus rubicundus
Babahoyo, EC-LR, EC;-1,725440045;-79,52147326;Apidae;Apis mellifera
San Gabriel, Ecuador;0,568839578;-77,81942535;Apidae;Bombus hortulanus
Jardin Del Valle, Quito 170145, Ecuador;-0,229821;-78,48312597;Apidae;Apis mellifera
Parroquia Nono;-0,066901318;-78,57673097;Apidae;Apis mellifera
Mindo, Ecuador;-0,048717;-78,775198;Apidae;Eulaema cingulata
Gonzalez Suarez, Loja, Loja, EC;-4,00633888;-79,19608333;Apidae;Apis mellifera
Unnamed Road, Zamora, Ecuador;-4,071821213;-78,95122528;Apidae;Apis mellifera
Unnamed Road, Zamora, Ecuador;-4,069945335;-78,95071411;Apidae;Apis mellifera
Jordan, Ecuador;0,24031851;-78,24513375;Apidae;Apis mellifera
Ibarra, EC-IM, EC;0,348204;-78,14674497;Apidae;Apis mellifera
Loja, Ecuador;-4,023823;-79,20863697;Apidae;Apis mellifera
Galo Plaza Lasso, Ibarra, Imbabura, EC;0,201884884;-78,09338767;Apidae;Apis mellifera
San Miguel de los Bancos, EC-PI, EC;-0,05274561;-78,7814302;Apidae;Eulaema cingulata
E14b, Quito, Pichincha, EC;-0,18120585;-78,41675632;Apidae;Apis mellifera
Loja, Loja, EC;-3,851703333;-79,34320833;Apidae;Apis mellifera
El LimÃ³n, Zamora, Ecuador;-4,061660007;-78,9648721;Apidae;Xylocopa similis
Juan Bosco, Antonio Ante, Imbabura, EC;0,352343861;-78,19512547;Apidae;Apis mellifera
Coop. 14 de Enero Sta. Anita, Quito 170148, Ecuador;-0,259074021;-78,54052149;Apidae;Apis mellifera
Alamor, Ecuador;-4,021926594;-80,05033929;Apidae;Apis mellifera
Imantag, Ecuador;0,356111916;-78,25324785;Apidae;Apis mellifera
San Miguel de los Bancos, Ecuador;-0,04980343;-78,77823032;Apidae;Eulaema cingulata
La Argelia, Loja, Ecuador;-4,027654;-79,20081297;Apidae;Apis mellifera
Quijos, Ecuador;-0,32230481;-78,14649087;Apidae;Bombus funebris
TulcÃ¡n, Ecuador;0,793888889;-77,73083333;Apidae;Apis mellifera
Santa Ines, Quito, Pichincha, EC;-0,197623295;-78,41649607;Apidae;Apis mellifera
Conjunto Alborada, Quito, Ecuador;-0,114530249;-78,50430965;Apidae;Apis mellifera
Chavezpamba;0,123713442;-78,41265991;Apidae;Apis mellifera
Quito, Pichincha, EC;-0,075225;-78,57811667;Apidae;Apis mellifera
Unnamed Road, Ecuador;0,296388889;-78,33861111;Apidae;Apis mellifera
Banos;-1,4;-78,43;Apidae;Apis mellifera
Urcuqui, Ecuador;0,412929879;-78,20337821;Apidae;Apis mellifera
La Ceiba, Zapotillo, Loja, Ecuador;-4,309782508;-80,21495283;Apidae;Apis mellifera
Condominio Las Cuadras;-0,278075587;-78,54975935;Apidae;Apis mellifera
Unnamed Road, Ecuador;0,35762834;-78,24730676;Apidae;Apis mellifera
Atuntaqui, Ecuador;0,31917162;-78,22291662;Apidae;Apis mellifera
High Trail to Cascada de Peguche, Otavalo, Imbabura, EC;0,239845;-78,239175;Apidae;Apis mellifera
Guayllabamba, Ecuador;-0,052520663;-78,30017477;Apidae;Apis mellifera
San Gabriel, Ecuador;0,5948949;-77,8281514;Apidae;Bombus excellens
Conjunto Chimborazo, Quito 170801, Ecuador;-0,264433333;-78,46047778;Apidae;Apis mellifera
El Ãngel, Ecuador;0,6183138;-77,9424531;Apidae;Apis mellifera
Rumichaca Nan Y Sapi (2), Quito 170146, Ecuador;-0,28372861;-78,54906399;Apidae;Apis mellifera
Parroquia El Sagrario, Ibarra, Ecuador;0,351233406;-78,10325202;Apidae;Apis mellifera
David Salinas, Zamora, Zamora Chinchipe, EC;-4,05411785;-78,93608634;Apidae;Tetragonisca angustula
El Carmelo (El Pun), Ecuador;0,662257528;-77,60460857;Apidae;Bombus rubicundus
Julio Andrade (Orejuela), Ecuador;0,659444444;-77,695;Apidae;Apis mellifera
Catamayo, Loja, EC;-4,0963945;-79,280145;Apidae;Apis mellifera
La Victoria, Ibarra, Ecuador;0,341465314;-78,11074141;Apidae;Apis mellifera
La Paz, Quito, Ecuador;-0,197200694;-78,47827469;Apidae;Apis mellifera
Felix Rivadeneira, Quito 170104, Ecuador;-0,144166667;-78,49777778;Apidae;Apis mellifera
Yanuncay, Cuenca, Ecuador;-2,915310291;-79,01399374;Apidae;Apis mellifera
Autopista General RumiÃ±ahui, Quito, Pichincha, EC;-0,241908333;-78,48583333;Apidae;Apis mellifera
Atahualpa (Habaspamba), Ecuador;0,135468193;-78,36628485;Apidae;Apis mellifera
Mindo, Ecuador;-0,051417269;-78,77796404;Apidae;Eulaema cingulata
Mindo, Ecuador;-0,050957941;-78,77660483;Apidae;Trigona ferricauda
San Gabriel;0,594894889;-77,82815158;Apidae;Apis mellifera
San Miguel de los Bancos, Ecuador;-0,063918889;-78,76548086;Apidae;Apis mellifera
Molleturo, Ecuador;-2,79169224;-79,41922523;Apidae;Mesonychium garleppi
James Colnet, Quito, Pichincha, EC;-0,164740989;-78,49758171;Apidae;Apis mellifera
Via BaÃ±os - Penipe, Guano, Chimborazo, EC;-1,5347;-78,52523;Apidae;Apis mellifera
Guayaquil, Ecuador;-2,655293773;-80,17596526;Apidae;Apis mellifera
Quito, Pichincha, EC;-0,287308337;-78,43362655;Apidae;Apis mellifera
Quito, Pichincha, EC;-0,286050252;-78,43306872;Apidae;Apis mellifera
Alangasi, Ecuador;-0,290608054;-78,4438017;Apidae;Apis mellifera
Distrito Metropolitano de Quito, Ecuador;-0,279982688;-78,69741556;Apidae;Apis mellifera
Distrito Metropolitano de Quito, Ecuador;-0,279950502;-78,69758492;Apidae;Apis mellifera
Quero, Ecuador;-1,379592645;-78,60985966;Apidae;Apis mellifera
Quijos, Ecuador;-0,459202562;-77,8613542;Apidae;Centris festiva
Alangasi, Ecuador;-0,289472908;-78,44602966;Apidae;Apis mellifera
Huayna-CÃ¡pac, Cuenca, Ecuador;-2,911204956;-78,99638261;Apidae;Apis mellifera
Jijon y CaamaÃ±o (Cab. en Rio Blanco), Ecuador;0,837102778;-78,23027778;Apidae;Bombus hortulanus
La Floresta;-0,209609808;-78,48513957;Apidae;Apis mellifera
San Fernando;-3,143373384;-79,25510857;Apidae;Apis mellifera
Pimampiro, EC-IM, EC;0,237856271;-78,01185708;Apidae;Bombus rubicundus
Avenida Machala, El Guabo, El Oro, EC;-3,24504191;-79,8345805;Apidae;Apis mellifera
BolÃ­var, ManabÃ­, EC;-0,925989411;-80,00452271;Apidae;Apis mellifera
Luis LeÃ³n RomÃ¡n, Pasaje, El Oro, EC;-3,343339506;-79,80671421;Apidae;Apis mellifera
Zaruma, Ecuador;-3,691924923;-79,61576678;Apidae;Apis mellifera
El Retiro, Ecuador;-3,3854156;-79,9094751;Apidae;Apis mellifera
El Guabo, Ecuador;-3,132686182;-79,75988994;Apidae;Apis mellifera
Chaucha, Ecuador;-2,853730202;-79,37640381;Apidae;Apis mellifera
Fuerte Huancavilca, Guayaquil, Ecuador;-2,103133814;-79,91080492;Apidae;Xylocopa frontalis
Unnamed Road, Virgen de FÃ¡tima, Ecuador;-2,247180521;-79,63896755;Apidae;Apis mellifera
Huayna-CÃ¡pac, Cuenca, Ecuador;-2,911949972;-78,988821;Apidae;Apis mellifera
PujilÃ­, Ecuador;-0,9595475;-78,70158567;Apidae;Apis mellifera
Distrito Metropolitano de Quito, Ecuador;-0,138189724;-78,58679126;Apidae;Bombus rubicundus
El Vecino, Cuenca, Ecuador;-2,87965166;-78,99230281;Apidae;Apis mellifera
Sayausi, Ecuador;-2,842976039;-79,13789369;Apidae;Bombus rubicundus
Isabela, Ecuador;-0,389461667;-91,226365;Apidae;Xylocopa darwini
170175, Ecuador;-0,215380278;-78,33426058;Apidae;Apis mellifera
Avenida 24 de Mayo, Cuenca, Azuay, EC;-2,916141667;-78,99723833;Apidae;Apis mellifera
El Limo;-3,985536574;-80,12750544;Apidae;Trigona fulviventris
Avenida de los Granados, Quito, Pichincha, EC;-0,169795;-78,47703667;Apidae;Apis mellifera
San Antonio, Ecuador;-0,007152778;-78,4517;Apidae;Apis mellifera
Cononaco, Ecuador;-2,912846519;-78,99616443;Apidae;Apis mellifera
Latacunga, Ecuador;-0,726379169;-78,65798141;Apidae;Bombus funebris
Cuenca;-2,885023156;-78,95186118;Apidae;Apis mellifera
Parque Metropolitano Guanguiltagua, Quito, Pichincha, EC;-0,1866;-78,462745;Apidae;Apis mellifera
Conjunto Chimborazo, Quito 170801, Ecuador;-0,26425633;-78,46035562;Apidae;Apis mellifera
Manuel Cordova Galarza Y Los Molles, Quito, Ecuador;0,003888889;-78,46305556;Apidae;Apis mellifera
Valle Hermoso, Ecuador;-0,129781925;-79,24642023;Apidae;Apis mellifera
MejÃ­a, Pichincha, EC;-0,388963333;-78,514555;Apidae;Anthophora pilifrons
45, Laguna Club 090901, Ecuador;-2,185384767;-79,98954132;Apidae;Apis mellifera
Huayna-CÃ¡pac, Cuenca, Ecuador;-2,91176;-78,98892497;Apidae;Apis mellifera
Taura, Ecuador;-2,361673146;-79,59347863;Apidae;Apis mellifera
Parque de la Juventud y la Familia;-0,247754204;-79,14853737;Apidae;Apis mellifera
Catamayo, Ecuador;-3,978113889;-79,37081667;Apidae;Eulaema polychroma
Parque Brasil, Calle JosÃ© Paredes, Quito 170104, Ecuador;-0,15867593;-78,49171635;Apidae;Apis mellifera
San Bartolome;-3,009715719;-78,84958908;Apidae;Apis mellifera
CantÃ³n San Pedro de Huaca, Ecuador;0,62872618;-77,72621032;Apidae;Apis mellifera
De Las Cucardas, Quito, Pichincha, EC;0,00393055;-78,45964167;Apidae;Apis mellifera
Granda Centeno, Quito 170521, Ecuador;-0,171350321;-78,49587679;Apidae;Apis mellifera
Quito, Ecuador;-0,114577187;-78,38909771;Apidae;Apis mellifera
El Ejido;-0,211890676;-78,49934522;Apidae;Apis mellifera
Quito, Pichincha, EC;-0,05209651;-78,55691452;Apidae;Apis mellifera
San Juan de la Armenia, Quito 170801, Ecuador;-0,270116;-78,46699597;Apidae;Apis mellifera
Caspigasi;0,017549023;-78,47942546;Apidae;Apis mellifera
Sabanilla Y Pedro Freire;-0,120881706;-78,49572558;Apidae;Apis mellifera
San Pedro de Taboada, Quito, Pichincha, EC;-0,316099427;-78,47218486;Apidae;Apis mellifera
Machachi, Ecuador;-0,51265198;-78,57053565;Apidae;Apis mellifera
Petrona GuayasamÃ¬n, Sangolqui, Pichincha, EC;-0,339311667;-78,44869167;Apidae;Apis mellifera
Los Chirijos, Milagro, Ecuador;-2,122093215;-79,59507038;Apidae;Apis mellifera
Ibarra, Imbabura, EC;0,46292;-78,01031388;Apidae;Apis mellifera
Conocoto;-0,30694919;-78,50190002;Apidae;Apis mellifera
Bosque Protegido - Inaquito Alto, Quito, Pichincha, EC;-0,167119752;-78,5084286;Apidae;Apis mellifera
Sangolqui;-0,33016268;-78,45107283;Apidae;Apis mellifera
Quebrada San Antonio, Ecuador;-0,3950848;-78,5224903;Apidae;Apis mellifera
Quito, EC-PI, EC;-0,18908305;-78,50702237;Apidae;Apis mellifera
Distrito Metropolitano de Quito, Ecuador;-0,009014468;-78,51480596;Apidae;Apis mellifera
Quito, EC-PI, EC;-0,128324172;-78,50220295;Apidae;Apis mellifera
Nela MartÃ¬nez, Quito, Pichincha, EC;-0,262509191;-78,47531057;Apidae;Apis mellifera
Otavalo, Ecuador;0,2343005;-78,2610672;Apidae;Apis mellifera
SamborondÃ³n, Guayas, EC;-2,050309075;-79,89541592;Apidae;Apis mellifera
Miguel Zambrano Y Via Los Chillos (2), Quito 170145, Ecuador;-0,2525;-78,49555556;Apidae;Apis mellifera
Carlos Polit Y Rio Ambi, Quito 170145, Ecuador;-0,22974031;-78,48022275;Apidae;Apis mellifera
AbdÃ³n CalderÃ³n;-1,031507109;-80,33944722;Apidae;Apis mellifera
Nueva Colemena I, Quito 170142, Ecuador;-0,260200873;-78,54986262;Apidae;Apis mellifera
Maldonado;0,898590687;-78,09930179;Apidae;Apis mellifera
E6a, Quito, Pichincha, EC;-0,01628055;-78,44071167;Apidae;Apis mellifera
San Rafael, Ecuador;-0,338611111;-78,47833333;Apidae;Apis mellifera
Albatros, Quito, Pichincha, EC;-0,29424667;-78,44545;Apidae;Apis mellifera
Quito;-0,180652178;-78,46783832;Apidae;Apis mellifera
Tambillo, Ecuador;-0,405878981;-78,54930294;Apidae;Apis mellifera
Salcedo, Ecuador;-1,044115455;-78,59164104;Apidae;Apis mellifera
Sangolqui;-0,33016268;-78,45107283;Apidae;Apis mellifera
Mena del Hierro, Quito, Ecuador;-0,111026813;-78,50550524;Apidae;Apis mellifera
171103, Ecuador;-0,33016268;-78,45107283;Apidae;Apis mellifera
LotizaciÃ³n La Armenia, Quito 170801, Ecuador;-0,272825;-78,46306667;Apidae;Apis mellifera
Sangolqui;-0,330158657;-78,45107283;Apidae;Apis mellifera
San Fernando, Azuay, EC;-3,176609007;-79,24680062;Apidae;Apis mellifera
Machachi, Ecuador;-0,503447636;-78,57158996;Apidae;Apis mellifera
Loja, Ecuador;-4,0078909;-79,2112769;Apidae;Apis mellifera
Otavalo;0,234398933;-78,26106716;Apidae;Apis mellifera
SangolquÃ­, Ecuador;-0,3301626;-78,4510729;Apidae;Apis mellifera
Sangolqui;-0,330158657;-78,45107283;Apidae;Apis mellifera
SangolquÃ­, Ecuador;-0,3301626;-78,4510729;Apidae;Apis mellifera
Manta;-0,967497889;-80,70891012;Apidae;Apis mellifera
SangolquÃ­;-0,330064781;-78,45107283;Apidae;Apis mellifera
cojimies;0,327846144;-80,03844009;Apidae;Apis mellifera
Chone, Ecuador;-0,69819693;-80,11030845;Apidae;Apis mellifera
Alajuela;-1,05521994;-80,27951963;Apidae;Apis mellifera
Orellana, Loreto, Avila, Ecuador;-0,638284073;-77,44026669;Apidae;Euglossa intersecta
MejÃ­a, Pichincha, EC;-0,351923594;-78,85101976;Apidae;Apis mellifera
Guano, Ecuador;-1,6074884;-78,6313624;Apidae;Apis mellifera
Nueva Colemena I, Quito 170142, Ecuador;-0,26013583;-78,5498492;Apidae;Apis mellifera
Calceta, Ecuador;-0,8475611;-80,1594297;Apidae;Apis mellifera
Sangolqui;-0,330158657;-78,45107283;Apidae;Apis mellifera
Quito, Ecuador;-0,168453789;-78,42943049;Apidae;Apis mellifera
SangolquÃ­;-0,33016268;-78,45107283;Apidae;Apis mellifera
SangolquÃ­;-0,330064781;-78,45107283;Apidae;Apis mellifera
Piscinas El Tingo;-0,286805401;-78,43935795;Apidae;Apis mellifera
Ruminahui, Pichincha, EC;-0,322915183;-78,4446826;Apidae;Apis mellifera
Nanegalito;0,06217594;-78,68202209;Apidae;Apis mellifera
Garcia Moreno Y Leonidas Plaza, Quito, Ecuador;-0,30340336;-78,48218545;Apidae;Apis mellifera
La Armenia;-0,27051855;-78,46951101;Apidae;Apis mellifera
Pomasqui, Quito, Ecuador;-0,038655;-78,45195006;Apidae;Apis mellifera
171103, Ecuador;-0,33016268;-78,45107283;Apidae;Apis mellifera
Barrio Centenario, Salinas, Ecuador;-2,236492729;-80,93108721;Apidae;Apis mellifera
Sta Rosa Argelia, Quito 170139, Ecuador;-0,276083;-78,5261303;Apidae;Apis mellifera
Guajalo, Quito, Ecuador;-0,2797677;-78,5149691;Apidae;Apis mellifera
CalacalÃ­, Ecuador;0,001893975;-78,51015955;Apidae;Apis mellifera
ItchimbÃ­a, Quito 170136, Ecuador;-0,22223147;-78,49875558;Apidae;Apis mellifera
El Pangui, EC-ZC, EC;-3,628473707;-78,57992544;Apidae;Apis mellifera
Pedro Carbo;-1,819687494;-80,23770768;Apidae;Meliponini
6, 13 de Febrero Cisne 2 090606, Ecuador;-2,129890389;-79,91856494;Apidae;Apis mellifera
Villaflora;-0,244114815;-78,52207024;Apidae;Apis mellifera
SangolquÃ­;-0,33016268;-78,45107283;Apidae;Apis mellifera
ItchimbÃ­a, Quito 170136, Ecuador;-0,222081267;-78,49875558;Apidae;Apis mellifera
Cascol, Ecuador;-1,787367806;-80,47714714;Apidae;Apis mellifera
Naranjal, Guayas, EC;-2,348971667;-79,70852;Apidae;Apis mellifera
Puellaro, Ecuador;0,095833333;-78,36583333;Apidae;Apis mellifera
Camino a la Cruz del IlalÃ³, Quito, Ecuador;-0,280927076;-78,43820561;Apidae;Apis mellifera
E49A, Ecuador;-2,248767837;-79,65432957;Apidae;Apis mellifera
Parque Las Cuadras;-0,287857484;-78,54762968;Apidae;Apis mellifera
San Miguel de Urcuqui, Ecuador;0,40563287;-78,17576464;Apidae;Apis mellifera
San Miguel de Urcuqui, Ecuador;0,40563287;-78,17576464;Apidae;Apis mellifera
Eugenio Espejo, Ecuador;0,208187577;-78,2487813;Apidae;Apis mellifera
Mindo, Ecuador;-0,055723219;-78,77540488;Apidae;Apis mellifera
Pomasqui, Quito, Ecuador;-0,042622;-78,4545869;Apidae;Apis mellifera
Antigua Calle De Acienda, Ecuador;-0,326666667;-78,41361111;Apidae;Apis mellifera
Santa Rosa de Cusubamba;-0,049408296;-78,27429313;Apidae;Apis mellifera
La Armenia, Quito, Ecuador;-0,268538707;-78,47122662;Apidae;Apis mellifera
San Antonio, Ecuador;0,074008;-78,45346831;Apidae;Apis mellifera
Alangasi, Ecuador;-0,289889567;-78,45276564;Apidae;Apis mellifera
San Cristobal;0,309337663;-78,12882219;Apidae;Apis mellifera
SangolquÃ­;-0,330064781;-78,45107283;Apidae;Bombus funebris
VÃ­a CircunvalaciÃ³n, Manta, Ecuador;-0,9741422;-80,6717059;Apidae;Apis mellifera
VÃ­a CircunvalaciÃ³n, Manta, Ecuador;-0,9741422;-80,6717059;Apidae;Apis mellifera
Pajan, Ecuador;-1,694306667;-80,46200667;Apidae;Apis mellifera
Pajan, Ecuador;-1,691171667;-80,466175;Apidae;Apis mellifera
Parque El Calzado;-0,254605171;-78,52688279;Apidae;Anthophora pilifrons
Ambato, Ecuador;-1,2543408;-78,6228504;Apidae;Apis mellifera
La Libertad, Ecuador;-2,221834828;-80,91098808;Apidae;Apis mellifera
AlangasÃ­;-0,303743996;-78,41161318;Apidae;Apis mellifera
La Pulida;-0,137896591;-78,50857772;Apidae;Apis mellifera
Otavalo;0,234300363;-78,26106716;Apidae;Apis mellifera
Otavalo;0,234300363;-78,26106716;Apidae;Apis mellifera
Teniente Hugo Ortiz Y Tomas Guerra (N-s), Quito 170148, Ecuador;-0,263296667;-78,53189847;Apidae;Apis mellifera
Pajan, Ecuador;-1,686522;-80,397103;Apidae;Meliponini
170184, Ecuador;-0,179177305;-78,40240248;Apidae;Apis mellifera
Parroquia Caranqui, Ibarra, Ecuador;0,334190174;-78,11417558;Apidae;Apis mellifera
Parroquia El Sagrario, Ibarra, Ecuador;0,337632683;-78,10878618;Apidae;Apis mellifera
Parroquia El Sagrario, Ibarra, Ecuador;0,338131132;-78,10748541;Apidae;Apis mellifera
Parroquia El Sagrario, Ibarra, Ecuador;0,338514311;-78,10633417;Apidae;Apis mellifera
San Rafael, Ecuador;-0,333272214;-78,46410435;Apidae;Apis mellifera
San Rafael, Ecuador;-0,333303059;-78,4641392;Apidae;Apis mellifera
San Rafael, Ecuador;-0,33324137;-78,46410969;Apidae;Apis mellifera
Pablo Arturo Suarez, Quito 170103, Ecuador;-0,126785321;-78,50835549;Apidae;Apis mellifera
Mejia, Ecuador;-0,397698316;-78,53275245;Apidae;Apis mellifera
Milagro, Guayas, EC;-2,107819631;-79,59251599;Apidae;Apis mellifera
Parque La Cuchara, Calle Angela de CaamaÃ±o, S/N, La Tola Baja, Quito, Ecuador;-0,229774843;-78,50153994;Apidae;Apis mellifera
Salcedo, Ecuador;-1,041057654;-78,59236748;Apidae;Apis mellifera
Antonio Ante, Ecuador;0,339214151;-78,1923018;Apidae;Apis mellifera
AlangasÃ­;-0,303743996;-78,41161318;Apidae;Apis mellifera
El Guisme, Ecuador;-3,609241972;-78,54710386;Apidae;Apis mellifera
Margaritas, Ambato, Tungurahua, EC;-1,249357856;-78,63975808;Apidae;Apis mellifera
AlangasÃ­;-0,303743996;-78,41161318;Apidae;Apis mellifera
Pilanqui, Ibarra, Ecuador;0,342071301;-78,130323;Apidae;Apis mellifera
Parque de AlangasÃ­;-0,308336543;-78,41506351;Apidae;Apis mellifera
SebastiÃ¡n de BenalcÃ¡zar, Quito, Pichincha, EC;-0,268005;-78,46678;Apidae;Apis mellifera
Mindo Pura Vida Climb Lodge;-0,061297852;-78,76747694;Apidae;Apis mellifera
SICAL, Quito, Ecuador;-0,308441483;-78,46433535;Apidae;Apis mellifera
Quito, EC-PI, EC;-0,005671667;-78,45963286;Apidae;Apis mellifera
Parroquia El Sagrario, Ibarra, Ecuador;0,346080355;-78,1139165;Apidae;Apis mellifera
Mindo;-0,048716957;-78,77519801;Apidae;Apis mellifera
AgustÃ­n Franco, Quito, Pichincha, EC;-0,262611667;-78,47496167;Apidae;Apis mellifera
Sangolqui;-0,330158657;-78,45107283;Apidae;Apis mellifera
San Jose de Monjas;-0,239459212;-78,50218635;Apidae;Apis mellifera
San Jose de Monjas;-0,239459212;-78,50218635;Apidae;Apis mellifera
Malchingui, Ecuador;0,030656329;-78,37030065;Apidae;Apis mellifera
Malchingui, Ecuador;0,030827991;-78,37081564;Apidae;Apis mellifera
Malchingui, Ecuador;0,030827991;-78,37081564;Apidae;Apis mellifera
Centro TecnolÃ³gico Ganaderos Orenses;-0,077797784;-78,98939654;Apidae;Eulaema cingulata
San Miguel de los Bancos, Ecuador;-0,077797784;-78,98939654;Apidae;Eulaema cingulata
Manta, Ecuador;-0,982552959;-80,66321131;Apidae;Apis mellifera
Tesalia;-0,497922367;-78,54021773;Apidae;Apis mellifera
San Pedro de Taboada, Quito, Ecuador;-0,32330036;-78,45897362;Apidae;Apis mellifera
Calle A, Ruminahui, Pichincha, EC;-0,327684399;-78,45928951;Apidae;Apis mellifera
AlangasÃ­;-0,303743996;-78,41161318;Apidae;Apis mellifera
